Epochs,Activation Function,Number of LSTM Units,Number of Hidden Layers,Dropout Rate,MSE,RMSE,MAE,R2
2500,relu,64,2,0.2,0.884060133,0.94024472,0.753377122,0.768523821
2600,relu,64,2,0.2,0.92645088,0.962523184,0.767093826,0.757424522
2700,relu,64,2,0.2,1.066202481,1.032570812,0.829456872,0.720832931
2800,relu,64,2,0.2,0.800182622,0.894529274,0.713801196,0.790485728
2900,relu,64,2,0.2,0.874844148,0.935331037,0.75301211,0.770936871
3000,relu,64,2,0.2,0.919336194,0.95882021,0.762707734,0.759287382
3500,relu,64,2,0.2,0.860483373,0.92762243,0.76071251,0.774696997
3600,relu,64,2,0.2,0.860377239,0.927565221,0.751503881,0.774724786
3700,relu,64,2,0.2,0.85349095,0.92384574,0.756185067,0.776527844
3800,relu,64,2,0.2,0.847353657,0.920518146,0.749804447,0.778134791
3900,relu,64,2,0.2,0.845622926,0.91957758,0.745520156,0.778587953
4000,relu,64,2,0.2,0.80094076,0.894952937,0.73172098,0.790287222
4100,relu,64,2,0.2,0.916449672,0.957313779,0.766879449,0.760043169
4200,relu,64,2,0.2,0.815745242,0.903186161,0.733141628,0.786410919
4300,relu,64,2,0.2,0.809743847,0.899857682,0.733243444,0.787982283
4400,relu,64,2,0.2,0.874196954,0.934985002,0.767157917,0.771106328
4500,relu,64,2,0.2,0.846032462,0.919800229,0.737981997,0.778480723
4600,relu,64,2,0.2,0.866368527,0.930789196,0.75720457,0.773156069
4700,relu,64,2,0.2,0.814615695,0.902560632,0.722252786,0.786706672
4800,relu,64,2,0.2,0.866613565,0.930920815,0.738034098,0.77309191
4900,relu,64,2,0.2,0.836037959,0.914351114,0.75789418,0.781097615
5000,relu,64,2,0.2,0.838669951,0.91578925,0.744092156,0.780408472
5500,relu,64,2,0.2,0.836139776,0.914406789,0.741143919,0.781070956
6000,relu,64,2,0.2,0.909198674,0.9535191,0.76411441,0.76194172
6500,relu,64,2,0.2,0.868734298,0.932059171,0.750591043,0.772536632
7000,relu,64,2,0.2,0.944222438,0.971711088,0.775325156,0.75277134
50,relu,128,2,0.2,0.814287098,0.902378578,0.725458582,0.786792709
100,relu,128,2,0.2,0.785547726,0.886311303,0.716426883,0.794317627
